border,date,measure,value,average
US-Mexico Border,11/01/2011 12:00:00 AM,Pedestrians,3403621,3495105
US-Canada Border,11/01/2011 12:00:00 AM,Personal Vehicles,2441758,2187502
US-Canada Border,11/01/2011 12:00:00 AM,Trucks,464071,457178
US-Mexico Border,11/01/2011 12:00:00 AM,Trucks,409868,383122
US-Canada Border,11/01/2011 12:00:00 AM,Truck Containers Full,338702,353863
US-Mexico Border,11/01/2011 12:00:00 AM,Truck Containers Full,264292,250276
US-Mexico Border,11/01/2011 12:00:00 AM,Bus Passengers,210661,217448
US-Canada Border,11/01/2011 12:00:00 AM,Bus Passengers,168430,187402
US-Mexico Border,11/01/2011 12:00:00 AM,Truck Containers Empty,130824,131816
US-Canada Border,11/01/2011 12:00:00 AM,Rail Containers Full,111451,100619
US-Canada Border,11/01/2011 12:00:00 AM,Truck Containers Empty,92690,95594
US-Canada Border,11/01/2011 12:00:00 AM,Rail Containers Empty,55947,48618
US-Mexico Border,11/01/2011 12:00:00 AM,Rail Containers Empty,37184,34391
US-Mexico Border,11/01/2011 12:00:00 AM,Rail Containers Full,29207,26512
US-Canada Border,11/01/2011 12:00:00 AM,Pedestrians,24448,19932
US-Mexico Border,11/01/2011 12:00:00 AM,Buses,16867,19291
US-Canada Border,11/01/2011 12:00:00 AM,Train Passengers,12523,11600
US-Canada Border,11/01/2011 12:00:00 AM,Buses,7808,8368
US-Canada Border,11/01/2011 12:00:00 AM,Trains,2289,2196
US-Mexico Border,11/01/2011 12:00:00 AM,Trains,720,693
US-Mexico Border,11/01/2011 12:00:00 AM,Train Passengers,282,714
US-Mexico Border,11/01/2010 12:00:00 AM,Personal Vehicle Passengers,9264116,12323695
US-Mexico Border,11/01/2010 12:00:00 AM,Personal Vehicles,5092182,6197164
US-Canada Border,11/01/2010 12:00:00 AM,Personal Vehicle Passengers,4091887,4174662
US-Mexico Border,11/01/2010 12:00:00 AM,Pedestrians,3360951,3629259
US-Canada Border,11/01/2010 12:00:00 AM,Personal Vehicles,2253733,2121272
US-Canada Border,11/01/2010 12:00:00 AM,Trucks,449269,465086
US-Mexico Border,11/01/2010 12:00:00 AM,Trucks,396321,369923
US-Canada Border,11/01/2010 12:00:00 AM,Truck Containers Full,348830,358896
US-Mexico Border,11/01/2010 12:00:00 AM,Truck Containers Full,266558,233993
US-Mexico Border,11/01/2010 12:00:00 AM,Bus Passengers,222156,212739
US-Canada Border,11/01/2010 12:00:00 AM,Bus Passengers,164769,210036
US-Mexico Border,11/01/2010 12:00:00 AM,Truck Containers Empty,128422,135209
US-Canada Border,11/01/2010 12:00:00 AM,Rail Containers Full,99634,101604
US-Canada Border,11/01/2010 12:00:00 AM,Truck Containers Empty,95667,95520
US-Canada Border,11/01/2010 12:00:00 AM,Rail Containers Empty,49646,47591
US-Mexico Border,11/01/2010 12:00:00 AM,Rail Containers Empty,34814,33968
US-Mexico Border,11/01/2010 12:00:00 AM,Rail Containers Full,26566,26459
US-Mexico Border,11/01/2010 12:00:00 AM,Buses,18794,19788
US-Canada Border,11/01/2010 12:00:00 AM,Pedestrians,18791,21074
US-Canada Border,11/01/2010 12:00:00 AM,Train Passengers,11833,11368
US-Canada Border,11/01/2010 12:00:00 AM,Buses,7937,8799
US-Canada Border,11/01/2010 12:00:00 AM,Trains,2114,2278
US-Mexico Border,11/01/2010 12:00:00 AM,Trains,662,724
US-Mexico Border,11/01/2010 12:00:00 AM,Train Passengers,290,1137
US-Mexico Border,11/01/2009 12:00:00 AM,Personal Vehicle Passengers,11215794,13431596
US-Mexico Border,11/01/2009 12:00:00 AM,Personal Vehicles,5694835,6699494
US-Canada Border,11/01/2009 12:00:00 AM,Personal Vehicle Passengers,4076505,4272818
US-Mexico Border,11/01/2009 12:00:00 AM,Pedestrians,3414808,3843710
US-Canada Border,11/01/2009 12:00:00 AM,Personal Vehicles,2079817,2162728
US-Canada Border,11/01/2009 12:00:00 AM,Trucks,441097,489075
US-Mexico Border,11/01/2009 12:00:00 AM,Trucks,366670,373176
US-Canada Border,11/01/2009 12:00:00 AM,Truck Containers Full,326771,391022
US-Mexico Border,11/01/2009 12:00:00 AM,Truck Containers Full,237821,230165
US-Mexico Border,11/01/2009 12:00:00 AM,Bus Passengers,184750,240728
US-Canada Border,11/01/2009 12:00:00 AM,Bus Passengers,174109,245962
US-Mexico Border,11/01/2009 12:00:00 AM,Truck Containers Empty,126852,143566
US-Canada Border,11/01/2009 12:00:00 AM,Truck Containers Empty,110496,80544
US-Canada Border,11/01/2009 12:00:00 AM,Rail Containers Full,90723,112485
US-Canada Border,11/01/2009 12:00:00 AM,Rail Containers Empty,47063,48119
US-Mexico Border,11/01/2009 12:00:00 AM,Rail Containers Empty,29248,38689
US-Mexico Border,11/01/2009 12:00:00 AM,Rail Containers Full,23132,29786
US-Canada Border,11/01/2009 12:00:00 AM,Pedestrians,20435,21714
US-Mexico Border,11/01/2009 12:00:00 AM,Buses,17994,21582
US-Canada Border,11/01/2009 12:00:00 AM,Train Passengers,11565,11170
US-Canada Border,11/01/2009 12:00:00 AM,Buses,8184,9414
US-Canada Border,11/01/2009 12:00:00 AM,Trains,1991,2564
US-Mexico Border,11/01/2009 12:00:00 AM,Trains,582,866
US-Mexico Border,11/01/2009 12:00:00 AM,Train Passengers,412,1862
US-Mexico Border,11/01/2008 12:00:00 AM,Personal Vehicle Passengers,12626745,14236448
US-Mexico Border,11/01/2008 12:00:00 AM,Personal Vehicles,6355731,7043256
US-Canada Border,11/01/2008 12:00:00 AM,Personal Vehicle Passengers,3923765,4621872
US-Mexico Border,11/01/2008 12:00:00 AM,Pedestrians,3542162,4145259
US-Canada Border,11/01/2008 12:00:00 AM,Personal Vehicles,2011884,2313572
US-Canada Border,11/01/2008 12:00:00 AM,Trucks,436177,541973
US-Mexico Border,11/01/2008 12:00:00 AM,Trucks,351074,395278
US-Canada Border,11/01/2008 12:00:00 AM,Truck Containers Full,331339,450704
US-Canada Border,11/01/2008 12:00:00 AM,Bus Passengers,230813,261110
US-Mexico Border,11/01/2008 12:00:00 AM,Bus Passengers,221792,259664
US-Mexico Border,11/01/2008 12:00:00 AM,Truck Containers Full,211571,248759
US-Mexico Border,11/01/2008 12:00:00 AM,Truck Containers Empty,138556,148576
US-Canada Border,11/01/2008 12:00:00 AM,Rail Containers Full,104462,120508
US-Canada Border,11/01/2008 12:00:00 AM,Truck Containers Empty,73113,87974
US-Canada Border,11/01/2008 12:00:00 AM,Rail Containers Empty,49038,47200
US-Mexico Border,11/01/2008 12:00:00 AM,Rail Containers Empty,39512,37866
US-Mexico Border,11/01/2008 12:00:00 AM,Rail Containers Full,29881,29692
US-Canada Border,11/01/2008 12:00:00 AM,Pedestrians,23214,20213
US-Mexico Border,11/01/2008 12:00:00 AM,Buses,20325,22840
US-Canada Border,11/01/2008 12:00:00 AM,Train Passengers,10358,11983
US-Canada Border,11/01/2008 12:00:00 AM,Buses,8631,10197
US-Canada Border,11/01/2008 12:00:00 AM,Trains,2409,2720
US-Mexico Border,11/01/2008 12:00:00 AM,Train Passengers,2202,1522
US-Mexico Border,11/01/2008 12:00:00 AM,Trains,877,854
US-Mexico Border,11/01/2007 12:00:00 AM,Personal Vehicle Passengers,13111785,15361110
US-Mexico Border,11/01/2007 12:00:00 AM,Personal Vehicles,6626661,7459852
US-Canada Border,11/01/2007 12:00:00 AM,Personal Vehicle Passengers,4811091,4432654
US-Mexico Border,11/01/2007 12:00:00 AM,Pedestrians,4226540,4063978
US-Canada Border,11/01/2007 12:00:00 AM,Personal Vehicles,2412399,2214744
US-Canada Border,11/01/2007 12:00:00 AM,Trucks,527722,556224
US-Canada Border,11/01/2007 12:00:00 AM,Truck Containers Full,432003,469404
US-Mexico Border,11/01/2007 12:00:00 AM,Trucks,411913,378642
US-Mexico Border,11/01/2007 12:00:00 AM,Bus Passengers,279751,239578
US-Canada Border,11/01/2007 12:00:00 AM,Bus Passengers,263206,259014
US-Mexico Border,11/01/2007 12:00:00 AM,Truck Containers Full,255674,241844
US-Mexico Border,11/01/2007 12:00:00 AM,Truck Containers Empty,153446,143706
US-Canada Border,11/01/2007 12:00:00 AM,Rail Containers Full,123014,118001
US-Canada Border,11/01/2007 12:00:00 AM,Truck Containers Empty,95740,80208
US-Canada Border,11/01/2007 12:00:00 AM,Rail Containers Empty,52079,42321
US-Mexico Border,11/01/2007 12:00:00 AM,Rail Containers Empty,40163,35568
US-Mexico Border,11/01/2007 12:00:00 AM,Rail Containers Full,29729,29656
US-Mexico Border,11/01/2007 12:00:00 AM,Buses,22631,23048
US-Canada Border,11/01/2007 12:00:00 AM,Train Passengers,11823,12143
US-Canada Border,11/01/2007 12:00:00 AM,Buses,10450,9944
US-Canada Border,11/01/2007 12:00:00 AM,Pedestrians,10188,30238
US-Canada Border,11/01/2007 12:00:00 AM,Trains,2650,2790
US-Mexico Border,11/01/2007 12:00:00 AM,Train Passengers,1699,1345
US-Mexico Border,11/01/2007 12:00:00 AM,Trains,904,804
US-Mexico Border,11/01/2006 12:00:00 AM,Personal Vehicle Passengers,15305057,15417162
US-Mexico Border,11/01/2006 12:00:00 AM,Personal Vehicles,7518950,7400754
US-Canada Border,11/01/2006 12:00:00 AM,Personal Vehicle Passengers,4330100,4535208
US-Mexico Border,11/01/2006 12:00:00 AM,Pedestrians,4251373,3876582
US-Canada Border,11/01/2006 12:00:00 AM,Personal Vehicles,2165435,2264054
US-Canada Border,11/01/2006 12:00:00 AM,Trucks,544329,568119
US-Canada Border,11/01/2006 12:00:00 AM,Truck Containers Full,457215,481594
US-Mexico Border,11/01/2006 12:00:00 AM,Trucks,370937,386347
US-Canada Border,11/01/2006 12:00:00 AM,Bus Passengers,255862,262167
US-Mexico Border,11/01/2006 12:00:00 AM,Bus Passengers,247070,232085
US-Mexico Border,11/01/2006 12:00:00 AM,Truck Containers Full,239793,243894
US-Mexico Border,11/01/2006 12:00:00 AM,Truck Containers Empty,148205,139206
US-Canada Border,11/01/2006 12:00:00 AM,Rail Containers Full,112898,123104
US-Canada Border,11/01/2006 12:00:00 AM,Truck Containers Empty,81356,79060
US-Canada Border,11/01/2006 12:00:00 AM,Rail Containers Empty,44020,40622
US-Mexico Border,11/01/2006 12:00:00 AM,Rail Containers Empty,37803,33334
US-Mexico Border,11/01/2006 12:00:00 AM,Rail Containers Full,32515,26798
US-Canada Border,11/01/2006 12:00:00 AM,Pedestrians,26728,33748
US-Mexico Border,11/01/2006 12:00:00 AM,Buses,24846,21250
US-Canada Border,11/01/2006 12:00:00 AM,Train Passengers,10958,13328
US-Canada Border,11/01/2006 12:00:00 AM,Buses,9683,10204
US-Canada Border,11/01/2006 12:00:00 AM,Trains,2739,2840
US-Mexico Border,11/01/2006 12:00:00 AM,Train Passengers,1310,1380
US-Mexico Border,11/01/2006 12:00:00 AM,Trains,842,766
US-Mexico Border,11/01/2005 12:00:00 AM,Personal Vehicle Passengers,14801205,16033118
US-Mexico Border,11/01/2005 12:00:00 AM,Personal Vehicles,7436896,7364612
US-Canada Border,11/01/2005 12:00:00 AM,Personal Vehicle Passengers,4359334,4711083
US-Mexico Border,11/01/2005 12:00:00 AM,Pedestrians,3660365,4092799
US-Canada Border,11/01/2005 12:00:00 AM,Personal Vehicles,2215430,2312679
US-Canada Border,11/01/2005 12:00:00 AM,Trucks,570492,565746
US-Canada Border,11/01/2005 12:00:00 AM,Truck Containers Full,495925,467263
US-Mexico Border,11/01/2005 12:00:00 AM,Trucks,409006,363688
US-Mexico Border,11/01/2005 12:00:00 AM,Truck Containers Full,266314,221475
US-Canada Border,11/01/2005 12:00:00 AM,Bus Passengers,263160,261174
US-Mexico Border,11/01/2005 12:00:00 AM,Bus Passengers,206340,257830
US-Mexico Border,11/01/2005 12:00:00 AM,Truck Containers Empty,138194,140218
US-Canada Border,11/01/2005 12:00:00 AM,Rail Containers Full,123395,122812
US-Canada Border,11/01/2005 12:00:00 AM,Truck Containers Empty,81139,76982
US-Canada Border,11/01/2005 12:00:00 AM,Rail Containers Empty,41728,39516
US-Mexico Border,11/01/2005 12:00:00 AM,Rail Containers Empty,35137,31530
US-Mexico Border,11/01/2005 12:00:00 AM,Rail Containers Full,29319,24276
US-Canada Border,11/01/2005 12:00:00 AM,Pedestrians,28277,39220
US-Mexico Border,11/01/2005 12:00:00 AM,Buses,20484,22016
US-Canada Border,11/01/2005 12:00:00 AM,Train Passengers,13409,13248
US-Canada Border,11/01/2005 12:00:00 AM,Buses,10000,10408
US-Canada Border,11/01/2005 12:00:00 AM,Trains,2904,2775
US-Mexico Border,11/01/2005 12:00:00 AM,Train Passengers,1657,1102
US-Mexico Border,11/01/2005 12:00:00 AM,Trains,878,653
US-Mexico Border,11/01/2004 12:00:00 AM,Personal Vehicle Passengers,15324796,16741441
US-Mexico Border,11/01/2004 12:00:00 AM,Personal Vehicles,7449737,7279487
US-Canada Border,11/01/2004 12:00:00 AM,Personal Vehicle Passengers,4626944,4795222
US-Mexico Border,11/01/2004 12:00:00 AM,Pedestrians,3898592,4287006
US-Canada Border,11/01/2004 12:00:00 AM,Personal Vehicles,2314188,2311170
US-Canada Border,11/01/2004 12:00:00 AM,Trucks,575623,555869
US-Canada Border,11/01/2004 12:00:00 AM,Truck Containers Full,481667,452859
US-Mexico Border,11/01/2004 12:00:00 AM,Trucks,376671,350705
US-Canada Border,11/01/2004 12:00:00 AM,Bus Passengers,251103,271246
US-Mexico Border,11/01/2004 12:00:00 AM,Bus Passengers,245517,270144
US-Mexico Border,11/01/2004 12:00:00 AM,Truck Containers Full,238413,204537
US-Mexico Border,11/01/2004 12:00:00 AM,Truck Containers Empty,137313,143124
US-Canada Border,11/01/2004 12:00:00 AM,Rail Containers Full,127055,118569
US-Canada Border,11/01/2004 12:00:00 AM,Truck Containers Empty,79707,74258
US-Canada Border,11/01/2004 12:00:00 AM,Rail Containers Empty,40884,38147
US-Mexico Border,11/01/2004 12:00:00 AM,Rail Containers Empty,34052,29008
US-Canada Border,11/01/2004 12:00:00 AM,Pedestrians,28983,49458
US-Mexico Border,11/01/2004 12:00:00 AM,Rail Containers Full,26890,21661
US-Mexico Border,11/01/2004 12:00:00 AM,Buses,20639,23393
US-Canada Border,11/01/2004 12:00:00 AM,Train Passengers,11497,14998
US-Canada Border,11/01/2004 12:00:00 AM,Buses,9696,11120
US-Canada Border,11/01/2004 12:00:00 AM,Trains,2732,2818
US-Mexico Border,11/01/2004 12:00:00 AM,Train Passengers,1002,1202
US-Mexico Border,11/01/2004 12:00:00 AM,Trains,659,647
US-Mexico Border,11/01/2003 12:00:00 AM,Personal Vehicle Passengers,17022290,16460592
US-Mexico Border,11/01/2003 12:00:00 AM,Personal Vehicles,7389424,7169550
US-Canada Border,11/01/2003 12:00:00 AM,Personal Vehicle Passengers,4502504,5087940
US-Mexico Border,11/01/2003 12:00:00 AM,Pedestrians,4462638,4111374
US-Canada Border,11/01/2003 12:00:00 AM,Personal Vehicles,2221309,2401031
US-Canada Border,11/01/2003 12:00:00 AM,Trucks,541841,569897
US-Canada Border,11/01/2003 12:00:00 AM,Truck Containers Full,439131,466587
US-Mexico Border,11/01/2003 12:00:00 AM,Trucks,343070,358340
US-Canada Border,11/01/2003 12:00:00 AM,Bus Passengers,267652,274840
US-Mexico Border,11/01/2003 12:00:00 AM,Bus Passengers,265194,275094
US-Mexico Border,11/01/2003 12:00:00 AM,Truck Containers Full,207982,201092
US-Mexico Border,11/01/2003 12:00:00 AM,Truck Containers Empty,134155,152092
US-Canada Border,11/01/2003 12:00:00 AM,Rail Containers Full,123883,113255
US-Canada Border,11/01/2003 12:00:00 AM,Truck Containers Empty,66907,81610
US-Canada Border,11/01/2003 12:00:00 AM,Pedestrians,63471,35444
US-Canada Border,11/01/2003 12:00:00 AM,Rail Containers Empty,39224,37070
US-Mexico Border,11/01/2003 12:00:00 AM,Rail Containers Empty,30235,27782
US-Mexico Border,11/01/2003 12:00:00 AM,Buses,23016,23770
US-Mexico Border,11/01/2003 12:00:00 AM,Rail Containers Full,21662,21660
US-Canada Border,11/01/2003 12:00:00 AM,Train Passengers,15768,14227
US-Canada Border,11/01/2003 12:00:00 AM,Buses,11338,10902
US-Canada Border,11/01/2003 12:00:00 AM,Trains,2844,2792
US-Mexico Border,11/01/2003 12:00:00 AM,Train Passengers,1092,1312
US-Mexico Border,11/01/2003 12:00:00 AM,Trains,674,620
US-Mexico Border,11/01/2002 12:00:00 AM,Personal Vehicle Passengers,16306431,16614752
US-Mexico Border,11/01/2002 12:00:00 AM,Personal Vehicles,7539096,6800004
US-Canada Border,11/01/2002 12:00:00 AM,Personal Vehicle Passengers,4853199,5322681
US-Mexico Border,11/01/2002 12:00:00 AM,Pedestrians,4437905,3784844
US-Canada Border,11/01/2002 12:00:00 AM,Personal Vehicles,2353581,2448481
US-Canada Border,11/01/2002 12:00:00 AM,Trucks,573418,566376
US-Canada Border,11/01/2002 12:00:00 AM,Truck Containers Full,486894,446280
US-Mexico Border,11/01/2002 12:00:00 AM,Trucks,357782,358899
US-Mexico Border,11/01/2002 12:00:00 AM,Bus Passengers,285466,264722
US-Canada Border,11/01/2002 12:00:00 AM,Bus Passengers,277563,272117
US-Mexico Border,11/01/2002 12:00:00 AM,Truck Containers Full,207741,194443
US-Mexico Border,11/01/2002 12:00:00 AM,Truck Containers Empty,147248,156935
US-Canada Border,11/01/2002 12:00:00 AM,Rail Containers Full,124222,102288
US-Canada Border,11/01/2002 12:00:00 AM,Truck Containers Empty,79602,83618
US-Canada Border,11/01/2002 12:00:00 AM,Rail Containers Empty,41058,33083
US-Canada Border,11/01/2002 12:00:00 AM,Pedestrians,33201,37687
US-Mexico Border,11/01/2002 12:00:00 AM,Rail Containers Empty,27889,27674
US-Mexico Border,11/01/2002 12:00:00 AM,Buses,25050,22489
US-Mexico Border,11/01/2002 12:00:00 AM,Rail Containers Full,23880,19439
US-Canada Border,11/01/2002 12:00:00 AM,Train Passengers,13992,14462
US-Canada Border,11/01/2002 12:00:00 AM,Buses,10795,11008
US-Canada Border,11/01/2002 12:00:00 AM,Trains,2817,2768
US-Mexico Border,11/01/2002 12:00:00 AM,Train Passengers,1124,1500
US-Mexico Border,11/01/2002 12:00:00 AM,Trains,646,595
US-Mexico Border,11/01/2001 12:00:00 AM,Personal Vehicle Passengers,14176337,19053166
US-Mexico Border,11/01/2001 12:00:00 AM,Personal Vehicles,6330089,7269920
US-Canada Border,11/01/2001 12:00:00 AM,Personal Vehicle Passengers,4396607,6248755
US-Mexico Border,11/01/2001 12:00:00 AM,Pedestrians,3872433,3697255
US-Canada Border,11/01/2001 12:00:00 AM,Personal Vehicles,2180452,2716510
US-Canada Border,11/01/2001 12:00:00 AM,Trucks,555441,577312
US-Canada Border,11/01/2001 12:00:00 AM,Truck Containers Full,456209,436350
US-Mexico Border,11/01/2001 12:00:00 AM,Trucks,356274,361524
US-Mexico Border,11/01/2001 12:00:00 AM,Bus Passengers,296713,232732
US-Canada Border,11/01/2001 12:00:00 AM,Bus Passengers,247938,296296
US-Mexico Border,11/01/2001 12:00:00 AM,Truck Containers Full,193731,195155
US-Mexico Border,11/01/2001 12:00:00 AM,Truck Containers Empty,158293,155577
US-Canada Border,11/01/2001 12:00:00 AM,Rail Containers Full,103307,101269
US-Canada Border,11/01/2001 12:00:00 AM,Truck Containers Empty,94778,72459
US-Canada Border,11/01/2001 12:00:00 AM,Pedestrians,40145,35229
US-Canada Border,11/01/2001 12:00:00 AM,Rail Containers Empty,35626,30540
US-Mexico Border,11/01/2001 12:00:00 AM,Rail Containers Empty,29964,25384
US-Mexico Border,11/01/2001 12:00:00 AM,Buses,23076,21902
US-Mexico Border,11/01/2001 12:00:00 AM,Rail Containers Full,21032,17846
US-Canada Border,11/01/2001 12:00:00 AM,Train Passengers,13703,15220
US-Canada Border,11/01/2001 12:00:00 AM,Buses,9873,12142
US-Canada Border,11/01/2001 12:00:00 AM,Trains,2780,2756
US-Mexico Border,11/01/2001 12:00:00 AM,Train Passengers,1521,1478
US-Mexico Border,11/01/2001 12:00:00 AM,Trains,638,552
US-Mexico Border,11/01/2000 12:00:00 AM,Personal Vehicle Passengers,19652372,18453961
US-Mexico Border,11/01/2000 12:00:00 AM,Personal Vehicles,7560489,6979352
US-Canada Border,11/01/2000 12:00:00 AM,Personal Vehicle Passengers,6248585,6248925
US-Mexico Border,11/01/2000 12:00:00 AM,Pedestrians,3779094,3615416
US-Canada Border,11/01/2000 12:00:00 AM,Personal Vehicles,2678751,2754268
US-Canada Border,11/01/2000 12:00:00 AM,Trucks,600470,554155
US-Canada Border,11/01/2000 12:00:00 AM,Truck Containers Full,452402,420297
US-Mexico Border,11/01/2000 12:00:00 AM,Trucks,363937,359112
US-Canada Border,11/01/2000 12:00:00 AM,Bus Passengers,304928,287663
US-Mexico Border,11/01/2000 12:00:00 AM,Bus Passengers,250585,214880
US-Mexico Border,11/01/2000 12:00:00 AM,Truck Containers Full,204264,186046
US-Mexico Border,11/01/2000 12:00:00 AM,Truck Containers Empty,164218,146936
US-Canada Border,11/01/2000 12:00:00 AM,Rail Containers Full,110224,92314
US-Canada Border,11/01/2000 12:00:00 AM,Truck Containers Empty,72734,72184
US-Canada Border,11/01/2000 12:00:00 AM,Pedestrians,37006,33452
US-Canada Border,11/01/2000 12:00:00 AM,Rail Containers Empty,32532,28548
US-Mexico Border,11/01/2000 12:00:00 AM,Rail Containers Empty,26002,24766
US-Mexico Border,11/01/2000 12:00:00 AM,Buses,23339,20466
US-Mexico Border,11/01/2000 12:00:00 AM,Rail Containers Full,18747,16946
US-Canada Border,11/01/2000 12:00:00 AM,Train Passengers,15434,15007
US-Canada Border,11/01/2000 12:00:00 AM,Buses,11775,12509
US-Canada Border,11/01/2000 12:00:00 AM,Trains,2851,2660
US-Mexico Border,11/01/2000 12:00:00 AM,Train Passengers,1590,1365
US-Mexico Border,11/01/2000 12:00:00 AM,Trains,587,518
US-Mexico Border,11/01/1999 12:00:00 AM,Personal Vehicle Passengers,19672318,17235604
US-Mexico Border,11/01/1999 12:00:00 AM,Personal Vehicles,7323755,6634950
US-Canada Border,11/01/1999 12:00:00 AM,Personal Vehicle Passengers,6349831,6148019
US-Mexico Border,11/01/1999 12:00:00 AM,Pedestrians,3719917,3510915
US-Canada Border,11/01/1999 12:00:00 AM,Personal Vehicles,2814074,2694461
US-Canada Border,11/01/1999 12:00:00 AM,Trucks,599462,508848
US-Canada Border,11/01/1999 12:00:00 AM,Truck Containers Full,497486,343108
US-Mexico Border,11/01/1999 12:00:00 AM,Trucks,374104,344119
US-Canada Border,11/01/1999 12:00:00 AM,Bus Passengers,306868,268458
US-Mexico Border,11/01/1999 12:00:00 AM,Bus Passengers,201365,228394
US-Mexico Border,11/01/1999 12:00:00 AM,Truck Containers Full,182601,189490
US-Mexico Border,11/01/1999 12:00:00 AM,Truck Containers Empty,149174,144697
US-Canada Border,11/01/1999 12:00:00 AM,Rail Containers Full,98459,86170
US-Canada Border,11/01/1999 12:00:00 AM,Truck Containers Empty,82135,62234
US-Canada Border,11/01/1999 12:00:00 AM,Pedestrians,32282,34622
US-Canada Border,11/01/1999 12:00:00 AM,Rail Containers Empty,29380,27716
US-Mexico Border,11/01/1999 12:00:00 AM,Rail Containers Empty,28801,20732
US-Mexico Border,11/01/1999 12:00:00 AM,Buses,21678,19254
US-Mexico Border,11/01/1999 12:00:00 AM,Rail Containers Full,17121,16770
US-Canada Border,11/01/1999 12:00:00 AM,Train Passengers,15159,14855
US-Canada Border,11/01/1999 12:00:00 AM,Buses,14278,10740
US-Canada Border,11/01/1999 12:00:00 AM,Trains,2686,2634
US-Mexico Border,11/01/1999 12:00:00 AM,Train Passengers,1332,1398
US-Mexico Border,11/01/1999 12:00:00 AM,Trains,492,544
US-Mexico Border,11/01/1998 12:00:00 AM,Personal Vehicle Passengers,18618325,15852884
US-Mexico Border,11/01/1998 12:00:00 AM,Personal Vehicles,6899007,6370894
US-Canada Border,11/01/1998 12:00:00 AM,Personal Vehicle Passengers,6139896,6156142
US-Mexico Border,11/01/1998 12:00:00 AM,Pedestrians,3652648,3369182
US-Canada Border,11/01/1998 12:00:00 AM,Personal Vehicles,2665949,2722973
US-Canada Border,11/01/1998 12:00:00 AM,Trucks,528285,489410
US-Canada Border,11/01/1998 12:00:00 AM,Truck Containers Full,402999,283216
US-Mexico Border,11/01/1998 12:00:00 AM,Trucks,329426,358812
US-Canada Border,11/01/1998 12:00:00 AM,Bus Passengers,296294,240622
US-Mexico Border,11/01/1998 12:00:00 AM,Bus Passengers,273317,183470
US-Mexico Border,11/01/1998 12:00:00 AM,Truck Containers Full,172353,206628
US-Mexico Border,11/01/1998 12:00:00 AM,Truck Containers Empty,153013,136381
US-Canada Border,11/01/1998 12:00:00 AM,Rail Containers Full,87531,84808
US-Canada Border,11/01/1998 12:00:00 AM,Truck Containers Empty,60806,63662
US-Canada Border,11/01/1998 12:00:00 AM,Pedestrians,33591,35652
US-Canada Border,11/01/1998 12:00:00 AM,Rail Containers Empty,25904,29529
US-Mexico Border,11/01/1998 12:00:00 AM,Buses,21628,16880
US-Mexico Border,11/01/1998 12:00:00 AM,Rail Containers Empty,19244,22219
US-Canada Border,11/01/1998 12:00:00 AM,Train Passengers,15182,14528
US-Mexico Border,11/01/1998 12:00:00 AM,Rail Containers Full,14353,19186
US-Canada Border,11/01/1998 12:00:00 AM,Buses,11617,9862
US-Canada Border,11/01/1998 12:00:00 AM,Trains,2681,2588
US-Mexico Border,11/01/1998 12:00:00 AM,Train Passengers,1673,1124
US-Mexico Border,11/01/1998 12:00:00 AM,Trains,496,592
US-Mexico Border,11/01/1997 12:00:00 AM,Personal Vehicle Passengers,18726443,12979324
US-Mexico Border,11/01/1997 12:00:00 AM,Personal Vehicles,6965699,5776090
US-Canada Border,11/01/1997 12:00:00 AM,Personal Vehicle Passengers,6752567,5559718
US-Mexico Border,11/01/1997 12:00:00 AM,Pedestrians,3671192,3067172
US-Canada Border,11/01/1997 12:00:00 AM,Personal Vehicles,2858858,2587088
US-Canada Border,11/01/1997 12:00:00 AM,Trucks,490730,488090
US-Canada Border,11/01/1997 12:00:00 AM,Truck Containers Full,317974,248457
US-Mexico Border,11/01/1997 12:00:00 AM,Trucks,301296,416328
US-Canada Border,11/01/1997 12:00:00 AM,Bus Passengers,267643,213600
US-Mexico Border,11/01/1997 12:00:00 AM,Bus Passengers,232568,134372
US-Mexico Border,11/01/1997 12:00:00 AM,Truck Containers Full,151067,262188
US-Mexico Border,11/01/1997 12:00:00 AM,Truck Containers Empty,135856,136906
US-Canada Border,11/01/1997 12:00:00 AM,Rail Containers Full,78843,90774
US-Canada Border,11/01/1997 12:00:00 AM,Truck Containers Empty,52153,75170
US-Canada Border,11/01/1997 12:00:00 AM,Pedestrians,34279,37024
US-Canada Border,11/01/1997 12:00:00 AM,Rail Containers Empty,22906,36152
US-Mexico Border,11/01/1997 12:00:00 AM,Buses,21794,11967
US-Canada Border,11/01/1997 12:00:00 AM,Train Passengers,15291,13766
US-Mexico Border,11/01/1997 12:00:00 AM,Rail Containers Empty,12540,31898
US-Mexico Border,11/01/1997 12:00:00 AM,Rail Containers Full,10684,27688
US-Canada Border,11/01/1997 12:00:00 AM,Buses,9910,9815
US-Canada Border,11/01/1997 12:00:00 AM,Trains,2777,2398
US-Mexico Border,11/01/1997 12:00:00 AM,Train Passengers,1259,988
US-Mexico Border,11/01/1997 12:00:00 AM,Trains,433,752
US-Mexico Border,11/01/1996 12:00:00 AM,Personal Vehicle Passengers,14066731,11891918
US-Canada Border,11/01/1996 12:00:00 AM,Personal Vehicle Passengers,7005691,4113744
US-Mexico Border,11/01/1996 12:00:00 AM,Personal Vehicles,5064322,6487858
US-Canada Border,11/01/1996 12:00:00 AM,Personal Vehicles,2886083,2288094
